stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00003084,-17.3436,123.6781,10,NA,DERBY (MANNING RD),NA,NA,NA
ASN00003085,-17.4311,123.0389,80,NA,MOUNT JOWLAENGA,NA,NA,NA
ASN00003086,-17.7278,123.6547,20,NA,WILLARE BRIDGE,NA,NA,NA
ASN00003087,-17.5606,122.1458,15,NA,TANJUNGPANDAN,NA,NA,NA
ASN00003088,-18.8375,126.5247,260,NA,LARRAWA,NA,NA,NA
ASN00003089,-17.9492,122.2339,7,NA,BROOME COMPARISON,NA,NA,NA
ASN00003090,-17.7981,124.0772,100,NA,DEBESA,NA,NA,NA
ASN00003091,-18.9894,125.8478,200,NA,BEEFWOOD PARK,NA,NA,NA
ASN00003092,-17.8578,122.2725,41,NA,SOUTH EAST WATERBANK,NA,NA,NA
ASN00003093,-18.1814,125.5619,114.5,NA,FITZROY CROSSING AERO,NA,NA,9420
ASN00003095,-18.3192,125.7806,160,NA,PILLARA SPRINGS,NA,NA,NA
ASN00003096,-17.8964,122.3122,32,NA,WEST ROEBUCK,NA,NA,9520
ASN00003098,-17.0549,125.7108,270,NA,MOUNT HOUSE AIRSTRIP,NA,NA,NA
ASN00003100,-17.9503,124.2653,55,NA,LIVERINGA STATION,NA,NA,NA
ASN00003103,-16.7733,122.5767,15,NA,MIDDLE LAGOON,NA,NA,NA
ASN00003104,-17.6406,123.1722,50,NA,KIMBERLEY COLOURSTONE,NA,NA,NA
ASN00003105,-18.1133,125.3428,175,NA,LAUREL DOWNS,NA,NA,NA
ASN00004000,-21.4167,118.9333,226,NA,ABYDOS,NA,NA,NA
ASN00004001,-20.9,117.1167,-999.9,NA,WOODBROOK,NA,NA,NA
ASN00004002,-20.3139,118.5742,8,NA,PORT HEDLAND POST OFFICE,NA,NA,NA
ASN00004003,-22.8,120.8625,500,NA,BALFOUR DOWNS,NA,NA,NA
ASN00004004,-20.9264,120.2075,250,NA,BAMBOO CREEK,NA,NA,NA
ASN00004005,-22.0517,119.6325,400,NA,BAMBOO SPRINGS,NA,NA,NA
