Sensor,Date_Time,Date,Time,Count
Flinders Street Station Underpass,2019-07-07T13:00:00Z,2019-07-07,23,353
Melbourne Central,2019-07-07T14:00:00Z,2019-07-08,0,213
Flinders Street Station Underpass,2019-07-07T14:00:00Z,2019-07-08,0,162
Melbourne Central,2019-07-07T15:00:00Z,2019-07-08,1,96
Flinders Street Station Underpass,2019-07-07T15:00:00Z,2019-07-08,1,38
Melbourne Central,2019-07-07T16:00:00Z,2019-07-08,2,78
Flinders Street Station Underpass,2019-07-07T16:00:00Z,2019-07-08,2,33
Melbourne Central,2019-07-07T17:00:00Z,2019-07-08,3,53
Flinders Street Station Underpass,2019-07-07T17:00:00Z,2019-07-08,3,8
Melbourne Central,2019-07-07T18:00:00Z,2019-07-08,4,41
Flinders Street Station Underpass,2019-07-07T18:00:00Z,2019-07-08,4,47
Melbourne Central,2019-07-07T19:00:00Z,2019-07-08,5,70
Flinders Street Station Underpass,2019-07-07T19:00:00Z,2019-07-08,5,172
Melbourne Central,2019-07-07T20:00:00Z,2019-07-08,6,174
Flinders Street Station Underpass,2019-07-07T20:00:00Z,2019-07-08,6,529
Melbourne Central,2019-07-07T21:00:00Z,2019-07-08,7,286
Flinders Street Station Underpass,2019-07-07T21:00:00Z,2019-07-08,7,1587
Melbourne Central,2019-07-07T22:00:00Z,2019-07-08,8,579
Flinders Street Station Underpass,2019-07-07T22:00:00Z,2019-07-08,8,3703
Melbourne Central,2019-07-07T23:00:00Z,2019-07-08,9,704
Flinders Street Station Underpass,2019-07-07T23:00:00Z,2019-07-08,9,1967
Melbourne Central,2019-07-08T00:00:00Z,2019-07-08,10,870
Flinders Street Station Underpass,2019-07-08T00:00:00Z,2019-07-08,10,1160
Melbourne Central,2019-07-08T01:00:00Z,2019-07-08,11,1369
Flinders Street Station Underpass,2019-07-08T01:00:00Z,2019-07-08,11,1326
Melbourne Central,2019-07-08T02:00:00Z,2019-07-08,12,2270
Flinders Street Station Underpass,2019-07-08T02:00:00Z,2019-07-08,12,2253
Melbourne Central,2019-07-08T03:00:00Z,2019-07-08,13,2429
Flinders Street Station Underpass,2019-07-08T03:00:00Z,2019-07-08,13,2378
Melbourne Central,2019-07-08T04:00:00Z,2019-07-08,14,2235
Flinders Street Station Underpass,2019-07-08T04:00:00Z,2019-07-08,14,1767
Melbourne Central,2019-07-08T05:00:00Z,2019-07-08,15,2269
Flinders Street Station Underpass,2019-07-08T05:00:00Z,2019-07-08,15,1957
Melbourne Central,2019-07-08T06:00:00Z,2019-07-08,16,2127
Flinders Street Station Underpass,2019-07-08T06:00:00Z,2019-07-08,16,2776
Melbourne Central,2019-07-08T07:00:00Z,2019-07-08,17,2391
Flinders Street Station Underpass,2019-07-08T07:00:00Z,2019-07-08,17,4397
Melbourne Central,2019-07-08T08:00:00Z,2019-07-08,18,2340
Flinders Street Station Underpass,2019-07-08T08:00:00Z,2019-07-08,18,2622
Melbourne Central,2019-07-08T09:00:00Z,2019-07-08,19,2274
