Sensor,Date_Time,Date,Time,Count
Alfred Place,2019-06-30T20:00:00Z,2019-07-01,6,100
Lonsdale St-Spring St (West),2019-06-30T20:00:00Z,2019-07-01,6,91
Grattan St-Swanston St (West),2019-06-30T20:00:00Z,2019-07-01,6,41
Monash Rd-Swanston St (West),2019-06-30T20:00:00Z,2019-07-01,6,26
Tin Alley-Swanston St (West),2019-06-30T20:00:00Z,2019-07-01,6,20
Bourke Street Mall (North),2019-06-30T21:00:00Z,2019-07-01,7,269
Bourke Street Mall (South),2019-06-30T21:00:00Z,2019-07-01,7,232
Melbourne Central,2019-06-30T21:00:00Z,2019-07-01,7,261
Town Hall (West),2019-06-30T21:00:00Z,2019-07-01,7,407
Princes Bridge,2019-06-30T21:00:00Z,2019-07-01,7,888
Flinders Street Station Underpass,2019-06-30T21:00:00Z,2019-07-01,7,1829
Birrarung Marr,2019-06-30T21:00:00Z,2019-07-01,7,343
Webb Bridge,2019-06-30T21:00:00Z,2019-07-01,7,318
Southern Cross Station,2019-06-30T21:00:00Z,2019-07-01,7,2204
Victoria Point,2019-06-30T21:00:00Z,2019-07-01,7,361
Waterfront City,2019-06-30T21:00:00Z,2019-07-01,7,57
New Quay,2019-06-30T21:00:00Z,2019-07-01,7,175
Flagstaff Station,2019-06-30T21:00:00Z,2019-07-01,7,NA
Sandridge Bridge,2019-06-30T21:00:00Z,2019-07-01,7,641
State Library,2019-06-30T21:00:00Z,2019-07-01,7,253
Collins St (North),2019-06-30T21:00:00Z,2019-07-01,7,388
Collins Place (South),2019-06-30T21:00:00Z,2019-07-01,7,766
Collins Place (North),2019-06-30T21:00:00Z,2019-07-01,7,748
Chinatown-Swanston St (North),2019-06-30T21:00:00Z,2019-07-01,7,70
Chinatown-Lt Bourke St (South),2019-06-30T21:00:00Z,2019-07-01,7,77
Bourke St-Russell St (West),2019-06-30T21:00:00Z,2019-07-01,7,147
Flinders St-Elizabeth St (East),2019-06-30T21:00:00Z,2019-07-01,7,1416
Spencer St-Collins St (South),2019-06-30T21:00:00Z,2019-07-01,7,724
Spencer St-Collins St (North),2019-06-30T21:00:00Z,2019-07-01,7,2233
Melbourne Convention Exhibition Centre,2019-06-30T21:00:00Z,2019-07-01,7,NA
QV Market-Elizabeth St (West),2019-06-30T21:00:00Z,2019-07-01,7,172
QV Market-Peel St,2019-06-30T21:00:00Z,2019-07-01,7,NA
The Arts Centre,2019-06-30T21:00:00Z,2019-07-01,7,893
St Kilda Rd-Alexandra Gardens,2019-06-30T21:00:00Z,2019-07-01,7,119
Lonsdale St (South),2019-06-30T21:00:00Z,2019-07-01,7,125
Lygon St (West),2019-06-30T21:00:00Z,2019-07-01,7,71
City Square,2019-06-30T21:00:00Z,2019-07-01,7,NA
Flinders St-Spring St (West),2019-06-30T21:00:00Z,2019-07-01,7,215
Flinders St-Spark La,2019-06-30T21:00:00Z,2019-07-01,7,135
Southbank,2019-06-30T21:00:00Z,2019-07-01,7,818
Queen St (West),2019-06-30T21:00:00Z,2019-07-01,7,245
Lygon St (East),2019-06-30T21:00:00Z,2019-07-01,7,40
Flinders St-Swanston St (West),2019-06-30T21:00:00Z,2019-07-01,7,1216
Alfred Place,2019-06-30T21:00:00Z,2019-07-01,7,291
Lonsdale St-Spring St (West),2019-06-30T21:00:00Z,2019-07-01,7,238
Grattan St-Swanston St (West),2019-06-30T21:00:00Z,2019-07-01,7,82
Monash Rd-Swanston St (West),2019-06-30T21:00:00Z,2019-07-01,7,70
Tin Alley-Swanston St (West),2019-06-30T21:00:00Z,2019-07-01,7,47
Bourke Street Mall (North),2019-06-30T22:00:00Z,2019-07-01,8,788
Bourke Street Mall (South),2019-06-30T22:00:00Z,2019-07-01,8,498
Melbourne Central,2019-06-30T22:00:00Z,2019-07-01,8,647
Town Hall (West),2019-06-30T22:00:00Z,2019-07-01,8,927
Princes Bridge,2019-06-30T22:00:00Z,2019-07-01,8,1719
