state,schtype,yr,birthmonth,birthyr,gender,desk,room,computer,internet,solarpanels,tvs,cars,music_instr,books,birthcnt,mother_birthcnt,father_birthcnt,test_anxiety,ambitious,prefer_team,make_friends_easy,tardy,science_fun,breakfast,work_pay,sport,internet_use,install_software,outhours_study,math_time,read_time,science_time,belong,anxtest,motivat,language,home_edres,home_poss,wealth,stuweight,math,science,read
WA,Gov,Y10,12,1999,female,1,1,1,1,0036001,4,3,1,3,1,1,1,2,3,3,2,3,3,1,2,2,5,2,16,480,480,480,-0.5753,-0.0374,-0.4849,313,0.0321,0.0185,0.4972,5.60918,414.05460000000005,375.40319999999997,435.90330000000006
WA,Gov,Y10,2,2000,female,1,1,2,1,0036002,4,2,3,4,1,1,1,4,4,2,2,2,3,NA,NA,NA,NaN,NaN,16,240,240,240,-1.2934,1.7952,0.2776,313,-1.1119,-0.2824,-0.1392,5.60918,405.67409999999995,363.802,373.341
WA,Gov,Y10,2,2000,female,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,5.60918,429.9528,447.62,462.9208
WA,Gov,Y10,12,1999,female,1,1,1,1,0036002,4,2,1,3,1,1,1,3,2,3,3,2,3,2,2,2,7,3,25,260,260,260,-1.2158,1.7184,-0.2803,313,-0.5343,0.1597,0.4995,5.60918,381.1961,358.54609999999997,400.9296
WA,Gov,Y10,3,2000,male,1,NA,NA,NA,,NA,2,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,100,60,NA,NA,NA,313,NA,-1.4799,NA,4.0885,340.1427,287.9475,308.3463
WA,Gov,Y10,12,1999,male,2,1,2,2,0036002,4,2,1,1,1,1,1,4,2,3,2,4,3,1,NA,1,NaN,NaN,NA,240,240,240,-0.3489,0.6219,-0.2803,313,-2.9153,-2.4394,-1.5181,4.0885,321.4824,285.9768,279.1421
WA,Gov,Y10,12,1999,male,1,1,2,1,0036001,4,4,3,3,1,1,1,2,2,3,3,4,3,1,2,1,7,3,18,240,240,240,0.6241,-1.1166,-1.2247,313,-2.124,-0.4873,0.318,4.0885,484.74659999999994,492.6826,438.60779999999994
WA,Gov,Y10,10,1999,male,1,1,2,1,0036002,4,3,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,3,NA,NA,NA,NA,NA,NA,NA,NaN,-0.9432,-0.8322,-0.5722,4.0885,391.478,386.8519,358.69390000000004
WA,Gov,Y10,2,2000,male,1,2,1,1,0036002,4,2,3,4,1,1,1,1,2,2,3,2,3,1,2,1,7,4,21,240,240,240,-0.9691,-0.567,0.6611,313,-0.9706,-0.6596,-0.7049,4.0885,572.5373,581.6385,587.0629
WA,Gov,Y10,3,2000,male,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,4.0885,357.28560000000004,338.1203,350.25130000000007
WA,Gov,Y10,4,2000,male,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,4.0885,529.2323,581.0608,547.8325
WA,Gov,Y10,11,1999,male,1,1,1,1,0036001,4,3,2,3,1,1,1,3,3,4,2,2,2,1,1,1,4,2,7,240,240,240,-0.7985,0.2594,0.4094,313,-0.1108,0.732,1.6404,4.0885,449.96760000000006,501.56129999999996,455.97559999999993
WA,Gov,Y10,1,2000,male,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,4.0885,359.349,364.20820000000003,354.8681
WA,Gov,Y10,6,1999,female,1,1,1,1,0036001,4,4,1,4,1,1,2,2,3,3,2,1,1,2,1,1,6,4,NA,240,240,0,-0.2541,-0.4671,-0.5336,313,1.1563,1.4501,1.6823,5.60918,375.13309999999996,362.4108,339.55129999999997
WA,Gov,Y10,5,1999,female,2,1,1,1,0036002,4,2,2,3,1,1,1,4,3,3,2,1,1,2,1,1,6,1,3,220,220,0,-0.3381,2.5493,-0.4745,313,-1.4595,-0.3555,0.2045,5.60918,386.2575,422.2611999999999,456.4874
WA,Gov,Y10,5,1999,female,2,1,1,2,0036002,3,3,1,1,1,1,1,3,3,3,1,3,1,1,2,2,6,1,NA,NA,NA,NA,1.0269,0.2594,0.1717,313,-1.8029,-1.7491,-0.8276,5.60918,378.1242,378.6761,390.456
WA,Gov,Y10,6,1999,male,1,1,1,1,0036002,4,3,3,2,1,1,1,2,3,2,2,3,3,NaN,NaN,NaN,NaN,NaN,NA,240,240,0,-1.1126,-0.4671,-0.4849,313,-0.6134,0.5294,0.4239,4.0885,427.90770000000003,451.9682999999999,463.3598
ACT,Ind,Y10,1,2000,female,1,1,1,1,0036002,4,3,3,3,1,1,2,3,3,4,2,1,NA,NA,NA,NA,5,NA,19,240,240,240,0.0248,-0.2039,-1.0255,313,0.0321,0.3673,0.6239,4.60929,373.7853,376.0427,404.8529
ACT,Ind,Y10,4,2000,male,1,1,1,1,0036002,4,3,4,6,1,1,1,3,3,2,2,1,NA,NA,NA,NA,7,NA,4,180,180,180,-0.3381,0.0752,0.4094,313,1.1563,1.7765,0.8597,4.60929,574.0788999999999,598.6986,640.7295999999999
ACT,Ind,Y10,3,2000,male,1,1,1,1,0036001,4,4,2,3,1,1,1,3,4,2,2,1,3,1,2,1,5,3,16,210,280,210,0.4638,0.0031,1.8543,313,-0.1507,0.744,1.514,4.60929,536.5878,525.144,494.0222
ACT,Ind,Y10,10,1999,female,2,1,1,1,0036002,4,4,2,4,1,2,1,4,2,3,2,4,1,2,1,2,7,3,NA,210,210,350,-0.5942,1.4098,-0.2803,313,-1.3957,0.6163,2.4253,4.71832,512.3131999999998,507.6343,516.2753
ACT,Ind,Y10,7,1999,female,1,1,1,1,0036002,2,2,4,6,2,2,2,3,3,3,2,1,4,1,2,1,4,2,12,260,260,195,-0.3381,-0.0345,1.2516,313,1.1563,0.7991,-0.3889,4.71832,665.0565,671.0650999999999,616.2348
ACT,Ind,Y10,6,1999,female,1,1,1,1,0036002,3,4,4,3,1,1,2,3,2,2,2,2,2,2,2,1,6,4,6,260,195,195,-0.4725,0.3265,-0.9233,313,1.1563,1.4474,0.8323,4.71832,562.6085,535.3774000000001,523.0295
ACT,Ind,Y10,11,1999,female,1,1,1,1,0036002,4,4,2,3,1,1,1,2,3,3,2,1,4,1,2,1,6,3,6,260,260,260,0.4906,-0.2729,0.1111,313,1.1563,1.1175,0.6603,4.71832,598.8632,605.2412999999999,568.8585
ACT,Ind,Y10,11,1999,female,1,1,1,1,0036002,4,4,4,6,1,1,1,3,4,2,3,4,1,2,2,2,4,2,7,240,240,240,-1.0036,0.4415,1.8543,313,1.1563,2.434,1.5649,4.71832,530.864,584.1123,583.926
ACT,Ind,Y10,6,1999,female,1,1,1,1,0036002,4,4,3,3,1,2,2,3,4,2,2,2,3,1,1,1,7,NA,3,300,300,300,-0.3381,0.5209,1.8543,415,-0.7218,0.7021,1.2544,4.71832,570.0874,527.642,548.9976
