Team,Season,Place
CA Osasuna,1984,6
Real Sociedad,1984,7
Espanyol Barcelona,1984,8
Real Zaragoza,1984,9
Valencia CF,1984,10
Racing Santander,1984,11
Sevilla FC,1984,12
Real Betis,1984,13
Hercules CF,1984,14
Real Valladolid,1984,15
CD Malaga,1984,16
Elche CF,1984,17
Real Murcia,1984,18
Real Madrid,1985,1
FC Barcelona,1985,2
Athletic Bilbao,1985,3
Atletico Madrid,1985,4
Real Zaragoza,1985,5
Real Sociedad,1985,6
Sporting Gijon,1985,7
Sevilla FC,1985,8
Real Betis,1985,9
Real Valladolid,1985,10
Espanyol Barcelona,1985,11
Racing Santander,1985,12
UD Las Palmas,1985,13
CA Osasuna,1985,14
Cadiz CF,1985,15
Valencia CF,1985,16
Hercules CF,1985,17
Celta Vigo,1985,18
Real Madrid,1986,1
FC Barcelona,1986,2
Espanyol Barcelona,1986,3
Real Sociedad,1986,4
Atletico Madrid,1986,5
Real Betis,1986,6
Sporting Gijon,1986,7
Real Zaragoza,1986,8
Real Murcia,1986,9
Athletic Bilbao,1986,10
RCD Mallorca,1986,11
UD Las Palmas,1986,12
Real Valladolid,1986,13
Sevilla FC,1986,14
CE Sabadell,1986,15
CA Osasuna,1986,16
Racing Santander,1986,17
Cadiz CF,1986,18
Real Madrid,1987,1
Real Sociedad,1987,2
Atletico Madrid,1987,3
Athletic Bilbao,1987,4
CA Osasuna,1987,5
FC Barcelona,1987,6
Celta Vigo,1987,7
Sporting Gijon,1987,8
Real Valladolid,1987,9
Sevilla FC,1987,10
Real Zaragoza,1987,11
Real Betis,1987,12
Cadiz CF,1987,13
CD Logrones,1987,14
Espanyol Barcelona,1987,15
Valencia CF,1987,16
UD Las Palmas,1987,17
Real Murcia,1987,18
RCD Mallorca,1987,19
CE Sabadell,1987,20
Real Madrid,1988,1
FC Barcelona,1988,2
Valencia CF,1988,3
Atletico Madrid,1988,4
Real Valladolid,1988,5
Real Zaragoza,1988,6
Athletic Bilbao,1988,7
Celta Vigo,1988,8
Sevilla FC,1988,9
CA Osasuna,1988,10
Sporting Gijon,1988,11
Real Oviedo,1988,12
Real Sociedad,1988,13
CD Malaga,1988,14
CD Logrones,1988,15
Cadiz CF,1988,16
Real Betis,1988,17
Espanyol Barcelona,1988,18
Real Murcia,1988,19
Elche CF,1988,20
Real Madrid,1989,1
FC Barcelona,1989,2
Valencia CF,1989,3
Atletico Madrid,1989,4
Sevilla FC,1989,5
Real Sociedad,1989,6
CD Logrones,1989,7
Real Zaragoza,1989,8
CA Osasuna,1989,9
Real Oviedo,1989,10
RCD Mallorca,1989,11
Athletic Bilbao,1989,12
Sporting Gijon,1989,13
Cadiz CF,1989,14
CD Castellon,1989,15
Real Valladolid,1989,16
CD Malaga,1989,17
CD Tenerife,1989,18
Celta Vigo,1989,19
Rayo Vallecano,1989,20
FC Barcelona,1990,1
Real Madrid,1990,2
Atletico Madrid,1990,3
CA Osasuna,1990,4
Sporting Gijon,1990,5
Real Oviedo,1990,6
Valencia CF,1990,7
Sevilla FC,1990,8
Athletic Bilbao,1990,9
CD Logrones,1990,10
Real Valladolid,1990,11
CD Tenerife,1990,12
Real Burgos,1990,13
Real Sociedad,1990,14
Espanyol Barcelona,1990,15
Real Zaragoza,1990,16
RCD Mallorca,1990,17
CD Castellon,1990,18
Cadiz CF,1990,19
Real Betis,1990,20
FC Barcelona,1991,1
Atletico Madrid,1991,2
Real Madrid,1991,3
Valencia CF,1991,4
Real Sociedad,1991,5
Real Zaragoza,1991,6
Albacete,1991,7
Sporting Gijon,1991,8
Real Oviedo,1991,9
Real Burgos,1991,10
CD Logrones,1991,11
Sevilla FC,1991,12
CD Tenerife,1991,13
Athletic Bilbao,1991,14
Espanyol Barcelona,1991,15
CA Osasuna,1991,16
Deportivo La Coruna,1991,17
RCD Mallorca,1991,18
Cadiz CF,1991,19
Real Valladolid,1991,20
FC Barcelona,1992,1
Real Madrid,1992,2
Deportivo La Coruna,1992,3
Valencia CF,1992,4
Sevilla FC,1992,5
Atletico Madrid,1992,6
CD Tenerife,1992,7
Athletic Bilbao,1992,8
Real Sociedad,1992,9
CA Osasuna,1992,10
Real Zaragoza,1992,11
Sporting Gijon,1992,12
CD Logrones,1992,13
Real Oviedo,1992,14
Celta Vigo,1992,15
Albacete,1992,16
Rayo Vallecano,1992,17
Espanyol Barcelona,1992,18
Cadiz CF,1992,19
Real Burgos,1992,20
FC Barcelona,1993,1
Deportivo La Coruna,1993,2
Real Zaragoza,1993,3
Real Madrid,1993,4
Athletic Bilbao,1993,5
Sevilla FC,1993,6
Valencia CF,1993,7
Racing Santander,1993,8
CD Tenerife,1993,9
Sporting Gijon,1993,10
Real Oviedo,1993,11
Real Sociedad,1993,12
Atletico Madrid,1993,13
Albacete,1993,14
Celta Vigo,1993,15
CD Logrones,1993,16
Rayo Vallecano,1993,17
Real Valladolid,1993,18
CA Osasuna,1993,19
UE Lleida,1993,20
Real Madrid,1994,1
Deportivo La Coruna,1994,2
FC Barcelona,1994,3
Real Zaragoza,1994,4
Real Betis,1994,5
Sevilla FC,1994,6
Athletic Bilbao,1994,7
Espanyol Barcelona,1994,8
Real Oviedo,1994,9
Valencia CF,1994,10
Real Sociedad,1994,11
Racing Santander,1994,12
Atletico Madrid,1994,13
CD Tenerife,1994,14
Celta Vigo,1994,15
SD Compostela,1994,16
Albacete,1994,17
Sporting Gijon,1994,18
Real Valladolid,1994,19
CD Logrones,1994,20
Atletico Madrid,1995,1
Valencia CF,1995,2
FC Barcelona,1995,3
Espanyol Barcelona,1995,4
CD Tenerife,1995,5
Real Madrid,1995,6
Real Sociedad,1995,7
Real Betis,1995,8
Deportivo La Coruna,1995,9
SD Compostela,1995,10
Celta Vigo,1995,11
Sevilla FC,1995,12
Real Zaragoza,1995,13
Athletic Bilbao,1995,14
Real Oviedo,1995,15
Real Valladolid,1995,16
Racing Santander,1995,17
Sporting Gijon,1995,18
Rayo Vallecano,1995,19
Albacete,1995,20
CP Merida,1995,21
UD Salamanca,1995,22
Real Madrid,1996,1
FC Barcelona,1996,2
Deportivo La Coruna,1996,3
Real Betis,1996,4
Atletico Madrid,1996,5
Athletic Bilbao,1996,6
Real Valladolid,1996,7
Real Sociedad,1996,8
CD Tenerife,1996,9
Valencia CF,1996,10
SD Compostela,1996,11
Espanyol Barcelona,1996,12
Racing Santander,1996,13
Real Zaragoza,1996,14
Sporting Gijon,1996,15
Celta Vigo,1996,16
Real Oviedo,1996,17
Rayo Vallecano,1996,18
CF Extremadura,1996,19
Sevilla FC,1996,20
Hercules CF,1996,21
CD Logrones,1996,22
FC Barcelona,1997,1
Athletic Bilbao,1997,2
Real Sociedad,1997,3
Real Madrid,1997,4
RCD Mallorca,1997,5
Atletico Madrid,1997,6
Celta Vigo,1997,7
Real Betis,1997,8
Valencia CF,1997,9
Espanyol Barcelona,1997,10
Real Valladolid,1997,11
